               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.030392,             0.01595,           0.0051214,             0.89895,             0.81281,             0.87621,             0.58956,            0.034213,           0.0095407,           0.0044932,             0.00703,             0.00703,             0.00703
                  47,             0.03026,            0.016019,           0.0047021,             0.91901,             0.84248,             0.90503,             0.61642,            0.033168,            0.009218,           0.0031346,            0.006964,            0.006964,            0.006964
                  48,            0.030282,            0.015874,           0.0049046,              0.8945,             0.81433,             0.88687,             0.58606,            0.034631,           0.0095903,           0.0038318,            0.006898,            0.006898,            0.006898
                  49,            0.029768,            0.015949,           0.0045437,             0.91513,              0.8352,             0.90364,             0.60683,            0.032742,           0.0091454,            0.003672,            0.006832,            0.006832,            0.006832
                  50,             0.02932,            0.015386,           0.0044448,             0.91088,             0.82067,             0.89392,             0.60728,            0.033575,           0.0092025,           0.0040733,            0.006766,            0.006766,            0.006766
                  51,            0.029191,            0.015576,            0.004403,             0.93329,             0.83405,             0.90211,             0.62054,            0.032539,           0.0091547,           0.0037088,              0.0067,              0.0067,              0.0067
                  52,            0.029364,            0.015721,           0.0045321,             0.91349,             0.85131,             0.90701,             0.61785,             0.03289,           0.0090439,           0.0035288,            0.006634,            0.006634,            0.006634
                  53,            0.029222,            0.015303,           0.0046207,              0.9241,             0.85347,             0.91262,              0.6233,             0.03239,           0.0089586,           0.0032605,            0.006568,            0.006568,            0.006568
                  54,            0.029073,            0.015337,           0.0043342,             0.93568,             0.85923,             0.91756,             0.63319,            0.031601,           0.0089536,           0.0030833,            0.006502,            0.006502,            0.006502
                  55,            0.028658,            0.015067,           0.0043968,              0.8997,             0.83003,             0.89043,             0.60794,            0.033172,           0.0094425,           0.0046274,            0.006436,            0.006436,            0.006436
                  56,            0.028487,            0.015177,           0.0044677,             0.90794,             0.84276,              0.8988,             0.61678,            0.032364,           0.0090809,           0.0043708,             0.00637,             0.00637,             0.00637
